value,designator,barcode,,mean,0.164993062,,,,
0.1612,UD8_1,"	M0540064PI27407900N",,,,,,,
0.1749,UD8_1,"	M0540064PI274079033",,,,,,,
0.1566,UD8_1,"	M0540064PI27407902X",,,,,,,
0.1895,UD8_1,"	M0540064PI27407902U",,,,,,,
0.1639,UD8_1,"	M0540064PI27407902N",,,,,,,
0.1616,UD8_1,"	M0540064PI27407901X",,,,,,,
0.1559,UD8_1,"	M0540064PI27407901W",,,,,,,
0.1785,UD8_1,"	M0540064PI274079028",,,,,,,
0.1644,UD8_1,"	M0540064PI27407901V",,,,,,,
0.1519,UD8_1,"	M0540064PI274079019",,,,,,,
0.226,UD8_1,"	M0540064PI27407901M",,,,,,,
0.1554,UD8_1,"	M0540064PI27407901P",,,,,,,
0.1766,UD8_1,"	M0540064PI27407901U",,,,,,,
0.1605,UD8_1,"	M0540064PI274079020",,,,,,,
0.1582,UD8_1,"	M0540064PI27407900S",,,,,,,
0.1738,UD8_1,"	M0540064PI27407900V",,,,,,,
0.1693,UD8_1,"	M0540064PI27407901L",,,,,,,
0.1828,UD8_1,"	M0540064PI274079023",,,,,,,
0.1655,UD8_1,"	M0540064PI27407901N",,,,,,,
0.1645,UD8_1,"	M0540064PI27407901J",,,,,,,
0.166,UD8_1,"	M0540064PI27407901R",,,,,,,
0.1632,UD8_1,"	M0540064PI27407902T",,,,,,,
0.1607,UD8_1,"	M0540064PI274079025",,,,,,,
